Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
1495,-0.3376,16.2723,0.13978,10.873,11.952,12.649,13.04,13.675,14.126,14.83,16.272,17.909,18.878,19.575,20.672,21.429,22.964,25.955
1496,-0.3376,16.2782,0.1398,10.876,11.956,12.653,13.044,13.679,14.131,14.835,16.278,17.915,18.885,19.582,20.681,21.438,22.973,25.966
1497,-0.3377,16.2842,0.13983,10.879,11.96,12.657,13.049,13.684,14.136,14.84,16.284,17.922,18.893,19.591,20.689,21.447,22.984,25.979
1498,-0.3377,16.2901,0.13986,10.882,11.963,12.661,13.053,13.688,14.14,14.845,16.29,17.929,18.9,19.598,20.698,21.457,22.994,25.991
1499,-0.3377,16.2961,0.13989,10.885,11.967,12.665,13.057,13.693,14.145,14.851,16.296,17.936,18.908,19.606,20.707,21.466,23.004,26.003
1500,-0.3378,16.302,0.13991,10.889,11.971,12.669,13.061,13.697,14.15,14.856,16.302,17.943,18.915,19.614,20.715,21.475,23.014,26.015
1501,-0.3378,16.308,0.13994,10.892,11.975,12.673,13.066,13.702,14.155,14.861,16.308,17.95,18.923,19.622,20.724,21.484,23.024,26.027
1502,-0.3379,16.314,0.13997,10.895,11.978,12.677,13.07,13.707,14.16,14.866,16.314,17.957,18.93,19.63,20.732,21.493,23.034,26.04
1503,-0.3379,16.3199,0.14,10.898,11.982,12.681,13.074,13.711,14.164,14.871,16.32,17.964,18.938,19.638,20.741,21.502,23.045,26.052
1504,-0.338,16.3259,0.14002,10.902,11.986,12.686,13.078,13.716,14.169,14.877,16.326,17.971,18.945,19.646,20.75,21.511,23.054,26.064
1505,-0.338,16.3318,0.14005,10.905,11.99,12.69,13.083,13.72,14.174,14.882,16.332,17.977,18.953,19.654,20.758,21.52,23.065,26.076
1506,-0.338,16.3378,0.14008,10.908,11.993,12.694,13.087,13.725,14.179,14.887,16.338,17.984,18.96,19.662,20.767,21.529,23.075,26.089
1507,-0.3381,16.3437,0.1401,10.911,11.997,12.698,13.091,13.729,14.184,14.892,16.344,17.991,18.968,19.669,20.775,21.538,23.084,26.1
1508,-0.3381,16.3497,0.14013,10.914,12.001,12.702,13.095,13.734,14.188,14.897,16.35,17.998,18.975,19.678,20.784,21.547,23.095,26.113
1509,-0.3382,16.3556,0.14016,10.918,12.004,12.706,13.099,13.738,14.193,14.902,16.356,18.005,18.983,19.685,20.793,21.557,23.105,26.125
1510,-0.3382,16.3616,0.14019,10.921,12.008,12.71,13.104,13.743,14.198,14.907,16.362,18.012,18.99,19.693,20.801,21.566,23.115,26.138
1511,-0.3383,16.3675,0.14021,10.924,12.012,12.714,13.108,13.748,14.203,14.913,16.368,18.019,18.998,19.701,20.81,21.575,23.125,26.149
1512,-0.3383,16.3735,0.14024,10.927,12.015,12.718,13.112,13.752,14.208,14.918,16.374,18.026,19.005,19.709,20.818,21.584,23.135,26.162
1513,-0.3383,16.3794,0.14027,10.93,12.019,12.722,13.116,13.757,14.212,14.923,16.379,18.033,19.013,19.717,20.827,21.593,23.145,26.174
1514,-0.3384,16.3854,0.14029,10.934,12.023,12.726,13.121,13.761,14.217,14.928,16.385,18.039,19.02,19.725,20.835,21.602,23.155,26.186
1515,-0.3384,16.3913,0.14032,10.937,12.027,12.73,13.125,13.766,14.222,14.933,16.391,18.046,19.027,19.733,20.844,21.611,23.165,26.198
1516,-0.3385,16.3973,0.14035,10.94,12.03,12.734,13.129,13.77,14.227,14.938,16.397,18.053,19.035,19.741,20.853,21.62,23.176,26.211
1517,-0.3385,16.4032,0.14038,10.943,12.034,12.738,13.133,13.775,14.231,14.944,16.403,18.06,19.043,19.749,20.861,21.629,23.186,26.223
1518,-0.3386,16.4092,0.1404,10.947,12.038,12.742,13.138,13.779,14.236,14.949,16.409,18.067,19.05,19.757,20.87,21.638,23.196,26.235
1519,-0.3386,16.4151,0.14043,10.95,12.041,12.746,13.142,13.784,14.241,14.954,16.415,18.074,19.057,19.764,20.879,21.647,23.206,26.247
1520,-0.3386,16.4211,0.14046,10.953,12.045,12.75,13.146,13.788,14.246,14.959,16.421,18.081,19.065,19.773,20.887,21.657,23.216,26.26
1521,-0.3387,16.427,0.14048,10.956,12.049,12.754,13.15,13.793,14.251,14.964,16.427,18.088,19.072,19.78,20.896,21.665,23.226,26.271
1522,-0.3387,16.433,0.14051,10.959,12.053,12.758,13.155,13.798,14.255,14.969,16.433,18.095,19.08,19.788,20.904,21.675,23.236,26.284
1523,-0.3388,16.4389,0.14054,10.962,12.056,12.762,13.159,13.802,14.26,14.974,16.439,18.102,19.087,19.796,20.913,21.684,23.247,26.296
1524,-0.3388,16.4449,0.14056,10.966,12.06,12.767,13.163,13.807,14.265,14.98,16.445,18.108,19.095,19.804,20.921,21.693,23.256,26.308
1525,-0.3389,16.4508,0.14059,10.969,12.064,12.77,13.167,13.811,14.27,14.985,16.451,18.115,19.102,19.812,20.93,21.702,23.267,26.32
1526,-0.3389,16.4568,0.14062,10.972,12.067,12.774,13.172,13.816,14.275,14.99,16.457,18.122,19.11,19.82,20.939,21.711,23.277,26.333
1527,-0.3389,16.4627,0.14065,10.975,12.071,12.778,13.176,13.82,14.279,14.995,16.463,18.129,19.117,19.828,20.947,21.72,23.287,26.345
1528,-0.339,16.4687,0.14067,10.979,12.075,12.783,13.18,13.825,14.284,15,16.469,18.136,19.125,19.836,20.956,21.729,23.297,26.357
1529,-0.339,16.4746,0.1407,10.982,12.078,12.787,13.184,13.829,14.289,15.005,16.475,18.143,19.132,19.844,20.965,21.738,23.307,26.369
1530,-0.3391,16.4806,0.14073,10.985,12.082,12.791,13.188,13.834,14.294,15.011,16.481,18.15,19.14,19.852,20.973,21.748,23.318,26.382
1531,-0.3391,16.4865,0.14075,10.988,12.086,12.795,13.193,13.839,14.299,15.016,16.487,18.157,19.147,19.859,20.982,21.756,23.327,26.393
1532,-0.3392,16.4925,0.14078,10.991,12.09,12.799,13.197,13.843,14.303,15.021,16.493,18.164,19.155,19.867,20.99,21.766,23.338,26.406
1533,-0.3392,16.4984,0.14081,10.994,12.093,12.803,13.201,13.848,14.308,15.026,16.498,18.171,19.162,19.875,20.999,21.775,23.348,26.419
1534,-0.3392,16.5044,0.14083,10.998,12.097,12.807,13.205,13.852,14.313,15.031,16.504,18.177,19.17,19.883,21.007,21.784,23.358,26.43
1535,-0.3393,16.5103,0.14086,11.001,12.101,12.811,13.21,13.857,14.318,15.036,16.51,18.184,19.177,19.891,21.016,21.793,23.368,26.443
1536,-0.3393,16.5163,0.14089,11.004,12.104,12.815,13.214,13.861,14.322,15.042,16.516,18.191,19.185,19.899,21.025,21.802,23.378,26.455
1537,-0.3394,16.5222,0.14091,11.008,12.108,12.819,13.218,13.866,14.327,15.047,16.522,18.198,19.192,19.907,21.033,21.811,23.388,26.467
1538,-0.3394,16.5282,0.14094,11.011,12.112,12.823,13.222,13.871,14.332,15.052,16.528,18.205,19.2,19.915,21.042,21.82,23.398,26.479
1539,-0.3395,16.5341,0.14097,11.014,12.115,12.827,13.227,13.875,14.337,15.057,16.534,18.212,19.207,19.923,21.051,21.829,23.409,26.492
1540,-0.3395,16.5401,0.141,11.017,12.119,12.831,13.231,13.88,14.342,15.062,16.54,18.219,19.215,19.931,21.06,21.839,23.419,26.505
1541,-0.3396,16.546,0.14102,11.02,12.123,12.835,13.235,13.884,14.346,15.067,16.546,18.226,19.222,19.939,21.068,21.848,23.429,26.516
1542,-0.3396,16.552,0.14105,11.023,12.127,12.839,13.239,13.889,14.351,15.073,16.552,18.233,19.23,19.947,21.077,21.857,23.439,26.529
1543,-0.3396,16.5579,0.14108,11.026,12.13,12.843,13.243,13.893,14.356,15.078,16.558,18.24,19.237,19.954,21.085,21.866,23.449,26.541
1544,-0.3397,16.5639,0.1411,11.03,12.134,12.847,13.248,13.898,14.361,15.083,16.564,18.246,19.244,19.962,21.094,21.875,23.459,26.553
1545,-0.3397,16.5698,0.14113,11.033,12.138,12.851,13.252,13.902,14.365,15.088,16.57,18.253,19.252,19.97,21.102,21.884,23.469,26.565
1546,-0.3398,16.5758,0.14116,11.036,12.141,12.855,13.256,13.907,14.37,15.093,16.576,18.26,19.26,19.978,21.111,21.893,23.48,26.578
1547,-0.3398,16.5817,0.14118,11.04,12.145,12.859,13.26,13.911,14.375,15.098,16.582,18.267,19.267,19.986,21.119,21.902,23.489,26.59
1548,-0.3399,16.5876,0.14121,11.043,12.149,12.863,13.265,13.916,14.38,15.103,16.588,18.274,19.274,19.994,21.128,21.911,23.5,26.602
1549,-0.3399,16.5936,0.14124,11.046,12.152,12.867,13.269,13.92,14.385,15.109,16.594,18.281,19.282,20.002,21.137,21.921,23.51,26.615
1550,-0.3399,16.5995,0.14126,11.049,12.156,12.871,13.273,13.925,14.389,15.114,16.6,18.288,19.289,20.01,21.145,21.929,23.52,26.626
1551,-0.34,16.6055,0.14129,11.052,12.16,12.875,13.277,13.93,14.394,15.119,16.606,18.295,19.297,20.018,21.154,21.939,23.53,26.639
1552,-0.34,16.6114,0.14132,11.055,12.164,12.879,13.281,13.934,14.399,15.124,16.611,18.302,19.304,20.026,21.163,21.948,23.54,26.651
1553,-0.3401,16.6174,0.14134,11.059,12.167,12.884,13.286,13.939,14.404,15.129,16.617,18.308,19.312,20.033,21.171,21.957,23.55,26.663
1554,-0.3401,16.6233,0.14137,11.062,12.171,12.888,13.29,13.943,14.409,15.134,16.623,18.315,19.319,20.041,21.18,21.966,23.56,26.676
1555,-0.3402,16.6293,0.1414,11.065,12.175,12.892,13.294,13.948,14.413,15.14,16.629,18.322,19.327,20.049,21.189,21.975,23.571,26.688
1556,-0.3402,16.6352,0.14142,11.068,12.178,12.896,13.299,13.952,14.418,15.145,16.635,18.329,19.334,20.057,21.197,21.984,23.581,26.7
1557,-0.3402,16.6412,0.14145,11.071,12.182,12.9,13.303,13.957,14.423,15.15,16.641,18.336,19.342,20.065,21.206,21.993,23.591,26.712
1558,-0.3403,16.6471,0.14148,11.075,12.186,12.904,13.307,13.961,14.428,15.155,16.647,18.343,19.349,20.073,21.214,22.003,23.601,26.725
1559,-0.3403,16.653,0.1415,11.078,12.19,12.908,13.311,13.966,14.432,15.16,16.653,18.35,19.357,20.081,21.223,22.011,23.611,26.736
1560,-0.3404,16.659,0.14153,11.081,12.193,12.912,13.315,13.971,14.437,15.165,16.659,18.357,19.364,20.089,21.232,22.021,23.621,26.749
1561,-0.3404,16.6649,0.14156,11.084,12.197,12.916,13.319,13.975,14.442,15.17,16.665,18.364,19.372,20.097,21.24,22.03,23.632,26.762
1562,-0.3405,16.6709,0.14158,11.088,12.201,12.92,13.324,13.98,14.447,15.176,16.671,18.37,19.379,20.105,21.249,22.039,23.642,26.774
1563,-0.3405,16.6768,0.14161,11.091,12.204,12.924,13.328,13.984,14.452,15.181,16.677,18.377,19.387,20.113,21.257,22.048,23.652,26.786
1564,-0.3405,16.6828,0.14164,11.094,12.208,12.928,13.332,13.989,14.456,15.186,16.683,18.384,19.394,20.121,21.266,22.057,23.662,26.799
1565,-0.3406,16.6887,0.14166,11.097,12.212,12.932,13.337,13.993,14.461,15.191,16.689,18.391,19.402,20.128,21.274,22.066,23.672,26.81
1566,-0.3406,16.6947,0.14169,11.1,12.215,12.936,13.341,13.998,14.466,15.196,16.695,18.398,19.409,20.136,21.283,22.075,23.682,26.823
1567,-0.3407,16.7006,0.14172,11.103,12.219,12.94,13.345,14.002,14.471,15.201,16.701,18.405,19.417,20.144,21.292,22.085,23.693,26.836
1568,-0.3407,16.7065,0.14174,11.107,12.223,12.944,13.349,14.007,14.475,15.206,16.707,18.412,19.424,20.152,21.3,22.093,23.702,26.847
1569,-0.3408,16.7125,0.14177,11.11,12.226,12.948,13.353,14.011,14.48,15.212,16.713,18.419,19.432,20.16,21.309,22.103,23.713,26.86
1570,-0.3408,16.7184,0.14179,11.113,12.23,12.952,13.358,14.016,14.485,15.217,16.718,18.426,19.439,20.168,21.317,22.111,23.722,26.871
1571,-0.3408,16.7244,0.14182,11.116,12.234,12.956,13.362,14.021,14.49,15.222,16.724,18.433,19.446,20.176,21.326,22.121,23.733,26.884
1572,-0.3409,16.7303,0.14185,11.119,12.238,12.96,13.366,14.025,14.494,15.227,16.73,18.439,19.454,20.184,21.335,22.13,23.743,26.897
1573,-0.3409,16.7363,0.14187,11.123,12.241,12.964,13.37,14.03,14.499,15.232,16.736,18.446,19.461,20.192,21.343,22.139,23.753,26.908
1574,-0.341,16.7422,0.1419,11.126,12.245,12.968,13.375,14.034,14.504,15.237,16.742,18.453,19.469,20.2,21.352,22.148,23.763,26.921
1575,-0.341,16.7481,0.14193,11.129,12.249,12.972,13.379,14.039,14.509,15.242,16.748,18.46,19.476,20.208,21.361,22.157,23.774,26.933
1576,-0.3411,16.7541,0.14195,11.132,12.252,12.976,13.383,14.043,14.514,15.248,16.754,18.467,19.484,20.215,21.369,22.166,23.784,26.945
1577,-0.3411,16.76,0.14198,11.135,12.256,12.98,13.387,14.048,14.518,15.253,16.76,18.474,19.491,20.223,21.378,22.175,23.794,26.958
1578,-0.3412,16.766,0.14201,11.139,12.26,12.984,13.391,14.052,14.523,15.258,16.766,18.481,19.499,20.232,21.387,22.185,23.804,26.971
1579,-0.3412,16.7719,0.14203,11.142,12.263,12.988,13.396,14.057,14.528,15.263,16.772,18.488,19.506,20.239,21.395,22.194,23.814,26.982
1580,-0.3412,16.7778,0.14206,11.145,12.267,12.992,13.4,14.061,14.533,15.268,16.778,18.495,19.514,20.247,21.404,22.203,23.824,26.995
1581,-0.3413,16.7838,0.14209,11.148,12.271,12.996,13.404,14.066,14.537,15.273,16.784,18.502,19.521,20.255,21.413,22.212,23.835,27.007
1582,-0.3413,16.7897,0.14211,11.151,12.275,13,13.408,14.07,14.542,15.279,16.79,18.508,19.529,20.263,21.421,22.221,23.844,27.019
1583,-0.3414,16.7957,0.14214,11.155,12.278,13.004,13.412,14.075,14.547,15.284,16.796,18.515,19.536,20.271,21.43,22.23,23.855,27.032
1584,-0.3414,16.8016,0.14216,11.158,12.282,13.009,13.417,14.08,14.552,15.289,16.802,18.522,19.544,20.279,21.438,22.239,23.865,27.043
1585,-0.3415,16.8075,0.14219,11.161,12.286,13.013,13.421,14.084,14.557,15.294,16.808,18.529,19.551,20.287,21.447,22.248,23.875,27.056
1586,-0.3415,16.8135,0.14222,11.164,12.289,13.016,13.425,14.089,14.561,15.299,16.814,18.536,19.559,20.295,21.456,22.258,23.885,27.069
1587,-0.3415,16.8194,0.14224,11.167,12.293,13.021,13.429,14.093,14.566,15.304,16.819,18.543,19.566,20.302,21.464,22.266,23.895,27.08
1588,-0.3416,16.8254,0.14227,11.171,12.297,13.025,13.434,14.098,14.571,15.309,16.825,18.55,19.574,20.311,21.473,22.276,23.906,27.093
1589,-0.3416,16.8313,0.1423,11.174,12.3,13.029,13.438,14.102,14.576,15.315,16.831,18.557,19.581,20.319,21.481,22.285,23.916,27.106
1590,-0.3417,16.8372,0.14232,11.177,12.304,13.033,13.442,14.107,14.58,15.32,16.837,18.563,19.589,20.326,21.49,22.294,23.926,27.117
1591,-0.3417,16.8432,0.14235,11.18,12.308,13.037,13.446,14.111,14.585,15.325,16.843,18.57,19.596,20.334,21.499,22.303,23.936,27.13
1592,-0.3418,16.8491,0.14237,11.183,12.312,13.041,13.451,14.116,14.59,15.33,16.849,18.577,19.603,20.342,21.507,22.312,23.946,27.142
1593,-0.3418,16.855,0.1424,11.187,12.315,13.045,13.455,14.12,14.595,15.335,16.855,18.584,19.611,20.35,21.516,22.321,23.956,27.154
1594,-0.3418,16.861,0.14243,11.19,12.319,13.049,13.459,14.125,14.6,15.34,16.861,18.591,19.619,20.358,21.525,22.33,23.966,27.167
1595,-0.3419,16.8669,0.14245,11.193,12.323,13.053,13.463,14.13,14.604,15.345,16.867,18.598,19.626,20.366,21.533,22.339,23.976,27.179
1596,-0.3419,16.8729,0.14248,11.196,12.326,13.057,13.467,14.134,14.609,15.351,16.873,18.605,19.634,20.374,21.542,22.349,23.987,27.191
1597,-0.342,16.8788,0.14251,11.199,12.33,13.061,13.471,14.138,14.614,15.356,16.879,18.612,19.641,20.382,21.55,22.358,23.997,27.204
1598,-0.342,16.8847,0.14253,11.202,12.334,13.065,13.476,14.143,14.619,15.361,16.885,18.619,19.648,20.39,21.559,22.367,24.007,27.216
1599,-0.3421,16.8907,0.14256,11.206,12.337,13.069,13.48,14.148,14.623,15.366,16.891,18.626,19.656,20.398,21.568,22.376,24.017,27.229
1600,-0.3421,16.8966,0.14258,11.209,12.341,13.073,13.484,14.152,14.628,15.371,16.897,18.632,19.663,20.405,21.576,22.385,24.027,27.24
1601,-0.3421,16.9025,0.14261,11.212,12.345,13.077,13.488,14.157,14.633,15.376,16.903,18.639,19.671,20.413,21.585,22.394,24.037,27.253
1602,-0.3422,16.9085,0.14264,11.215,12.348,13.081,13.493,14.161,14.638,15.381,16.909,18.646,19.678,20.421,21.594,22.403,24.048,27.266
1603,-0.3422,16.9144,0.14266,11.218,12.352,13.085,13.497,14.166,14.642,15.387,16.914,18.653,19.686,20.429,21.602,22.412,24.058,27.277
1604,-0.3423,16.9203,0.14269,11.222,12.356,13.089,13.501,14.17,14.647,15.392,16.92,18.66,19.693,20.437,21.611,22.422,24.068,27.29
1605,-0.3423,16.9263,0.14271,11.225,12.359,13.093,13.505,14.175,14.652,15.397,16.926,18.667,19.701,20.445,21.619,22.43,24.078,27.302
1606,-0.3424,16.9322,0.14274,11.228,12.363,13.097,13.509,14.179,14.657,15.402,16.932,18.674,19.708,20.453,21.628,22.44,24.088,27.314
1607,-0.3424,16.9381,0.14277,11.231,12.367,13.101,13.514,14.184,14.661,15.407,16.938,18.681,19.716,20.461,21.636,22.449,24.099,27.327
1608,-0.3425,16.9441,0.14279,11.234,12.371,13.105,13.518,14.189,14.666,15.412,16.944,18.687,19.723,20.469,21.645,22.458,24.108,27.339
1609,-0.3425,16.95,0.14282,11.238,12.374,13.109,13.522,14.193,14.671,15.417,16.95,18.694,19.731,20.477,21.654,22.467,24.119,27.351
1610,-0.3425,16.9559,0.14284,11.241,12.378,13.113,13.526,14.198,14.676,15.422,16.956,18.701,19.738,20.484,21.662,22.476,24.128,27.363
1611,-0.3426,16.9619,0.14287,11.244,12.381,13.117,13.531,14.202,14.681,15.428,16.962,18.708,19.746,20.493,21.671,22.485,24.139,27.376
1612,-0.3426,16.9678,0.1429,11.247,12.385,13.121,13.535,14.206,14.685,15.433,16.968,18.715,19.753,20.5,21.68,22.495,24.149,27.388
1613,-0.3427,16.9737,0.14292,11.25,12.389,13.125,13.539,14.211,14.69,15.438,16.974,18.722,19.76,20.508,21.688,22.503,24.159,27.4
1614,-0.3427,16.9796,0.14295,11.253,12.392,13.129,13.543,14.216,14.695,15.443,16.98,18.729,19.768,20.516,21.697,22.513,24.169,27.413
1615,-0.3428,16.9856,0.14297,11.257,12.396,13.133,13.547,14.22,14.7,15.448,16.986,18.736,19.775,20.524,21.705,22.522,24.179,27.425
1616,-0.3428,16.9915,0.143,11.26,12.4,13.137,13.552,14.225,14.704,15.453,16.992,18.743,19.783,20.532,21.714,22.531,24.19,27.437
1617,-0.3428,16.9974,0.14303,11.263,12.403,13.141,13.556,14.229,14.709,15.458,16.997,18.749,19.79,20.54,21.723,22.54,24.2,27.45
1618,-0.3429,17.0034,0.14305,11.266,12.407,13.145,13.56,14.234,14.714,15.464,17.003,18.756,19.798,20.548,21.731,22.549,24.21,27.462
1619,-0.3429,17.0093,0.14308,11.269,12.411,13.149,13.564,14.238,14.719,15.469,17.009,18.763,19.805,20.556,21.74,22.558,24.22,27.474
1620,-0.343,17.0152,0.1431,11.273,12.415,13.153,13.568,14.243,14.723,15.474,17.015,18.77,19.813,20.564,21.748,22.567,24.23,27.486
1621,-0.343,17.0211,0.14313,11.276,12.418,13.157,13.573,14.247,14.728,15.479,17.021,18.777,19.82,20.571,21.757,22.576,24.24,27.499
1622,-0.3431,17.0271,0.14315,11.279,12.422,13.161,13.577,14.252,14.733,15.484,17.027,18.784,19.828,20.579,21.765,22.585,24.25,27.511
1623,-0.3431,17.033,0.14318,11.282,12.426,13.165,13.581,14.256,14.738,15.489,17.033,18.791,19.835,20.587,21.774,22.595,24.261,27.523
1624,-0.3431,17.0389,0.14321,11.285,12.429,13.169,13.585,14.261,14.742,15.494,17.039,18.798,19.843,20.595,21.783,22.604,24.271,27.536
1625,-0.3432,17.0448,0.14323,11.289,12.433,13.173,13.589,14.265,14.747,15.499,17.045,18.804,19.85,20.603,21.791,22.613,24.281,27.548
1626,-0.3432,17.0508,0.14326,11.292,12.437,13.177,13.594,14.27,14.752,15.505,17.051,18.811,19.858,20.611,21.8,22.622,24.291,27.561
1627,-0.3433,17.0567,0.14328,11.295,12.44,13.181,13.598,14.275,14.757,15.51,17.057,18.818,19.865,20.619,21.808,22.631,24.301,27.572
1628,-0.3433,17.0626,0.14331,11.298,12.444,13.185,13.602,14.279,14.761,15.515,17.063,18.825,19.873,20.627,21.817,22.64,24.312,27.585
1629,-0.3434,17.0685,0.14334,11.301,12.448,13.189,13.606,14.283,14.766,15.52,17.069,18.832,19.88,20.635,21.826,22.649,24.322,27.598
1630,-0.3434,17.0744,0.14336,11.304,12.451,13.193,13.61,14.288,14.771,15.525,17.074,18.839,19.887,20.643,21.834,22.658,24.332,27.609
1631,-0.3434,17.0804,0.14339,11.307,12.455,13.197,13.615,14.293,14.776,15.53,17.08,18.846,19.895,20.651,21.843,22.668,24.342,27.622
1632,-0.3435,17.0863,0.14341,11.311,12.459,13.201,13.619,14.297,14.781,15.535,17.086,18.853,19.902,20.658,21.852,22.676,24.352,27.634
1633,-0.3435,17.0922,0.14344,11.314,12.462,13.205,13.623,14.302,14.785,15.54,17.092,18.859,19.91,20.666,21.86,22.686,24.362,27.647
1634,-0.3436,17.0981,0.14346,11.317,12.466,13.209,13.627,14.306,14.79,15.546,17.098,18.866,19.917,20.674,21.869,22.695,24.372,27.658
1635,-0.3436,17.104,0.14349,11.32,12.47,13.213,13.631,14.311,14.795,15.551,17.104,18.873,19.925,20.682,21.877,22.704,24.383,27.671
1636,-0.3437,17.11,0.14352,11.323,12.473,13.217,13.636,14.315,14.799,15.556,17.11,18.88,19.932,20.69,21.886,22.713,24.393,27.684
1637,-0.3437,17.1159,0.14354,11.327,12.477,13.221,13.64,14.32,14.804,15.561,17.116,18.887,19.94,20.698,21.895,22.722,24.403,27.696
1638,-0.3438,17.1218,0.14357,11.33,12.481,13.225,13.644,14.324,14.809,15.566,17.122,18.894,19.947,20.706,21.903,22.731,24.413,27.709
1639,-0.3438,17.1277,0.14359,11.333,12.484,13.229,13.648,14.329,14.814,15.571,17.128,18.901,19.955,20.714,21.912,22.74,24.423,27.72
1640,-0.3438,17.1336,0.14362,11.336,12.488,13.233,13.652,14.333,14.818,15.576,17.134,18.908,19.962,20.722,21.92,22.749,24.433,27.733
1641,-0.3439,17.1395,0.14364,11.339,12.492,13.237,13.657,14.338,14.823,15.581,17.14,18.914,19.969,20.729,21.929,22.758,24.443,27.745
1642,-0.3439,17.1455,0.14367,11.343,12.495,13.241,13.661,14.342,14.828,15.587,17.146,18.921,19.977,20.738,21.938,22.768,24.454,27.757
1643,-0.344,17.1514,0.14369,11.346,12.499,13.246,13.665,14.347,14.833,15.592,17.151,18.928,19.984,20.745,21.946,22.777,24.464,27.769
1644,-0.344,17.1573,0.14372,11.349,12.503,13.249,13.669,14.351,14.838,15.597,17.157,18.935,19.992,20.753,21.955,22.786,24.474,27.782
1645,-0.3441,17.1632,0.14375,11.352,12.506,13.253,13.673,14.356,14.842,15.602,17.163,18.942,20,20.761,21.964,22.795,24.484,27.795
1646,-0.3441,17.1691,0.14377,11.355,12.51,13.257,13.678,14.36,14.847,15.607,17.169,18.949,20.007,20.769,21.972,22.804,24.494,27.806
1647,-0.3441,17.175,0.1438,11.358,12.514,13.261,13.682,14.365,14.852,15.612,17.175,18.956,20.014,20.777,21.981,22.813,24.504,27.819
1648,-0.3442,17.1809,0.14382,11.362,12.517,13.265,13.686,14.369,14.856,15.617,17.181,18.962,20.022,20.785,21.989,22.822,24.514,27.831
1649,-0.3442,17.1868,0.14385,11.365,12.521,13.269,13.69,14.374,14.861,15.622,17.187,18.969,20.029,20.793,21.998,22.831,24.525,27.844
1650,-0.3443,17.1927,0.14387,11.368,12.525,13.273,13.694,14.378,14.866,15.627,17.193,18.976,20.037,20.8,22.006,22.84,24.535,27.856
1651,-0.3443,17.1987,0.1439,11.371,12.528,13.277,13.699,14.383,14.871,15.633,17.199,18.983,20.044,20.809,22.015,22.85,24.545,27.868
1652,-0.3444,17.2046,0.14392,11.374,12.532,13.282,13.703,14.387,14.876,15.638,17.205,18.99,20.052,20.816,22.024,22.858,24.555,27.88
1653,-0.3444,17.2105,0.14395,11.377,12.536,13.285,13.707,14.392,14.88,15.643,17.211,18.997,20.059,20.824,22.032,22.868,24.565,27.893
1654,-0.3444,17.2164,0.14398,11.38,12.539,13.289,13.711,14.396,14.885,15.648,17.216,19.004,20.067,20.832,22.041,22.877,24.576,27.905
1655,-0.3445,17.2223,0.144,11.384,12.543,13.293,13.715,14.401,14.89,15.653,17.222,19.011,20.074,20.84,22.049,22.886,24.586,27.917
1656,-0.3445,17.2282,0.14403,11.387,12.547,13.297,13.719,14.405,14.894,15.658,17.228,19.017,20.082,20.848,22.058,22.895,24.596,27.93
1657,-0.3446,17.2341,0.14405,11.39,12.55,13.301,13.724,14.41,14.899,15.663,17.234,19.024,20.089,20.856,22.067,22.904,24.606,27.942
1658,-0.3446,17.24,0.14408,11.393,12.554,13.305,13.728,14.414,14.904,15.668,17.24,19.031,20.096,20.864,22.075,22.913,24.616,27.955
1659,-0.3447,17.2459,0.1441,11.397,12.558,13.309,13.732,14.419,14.909,15.674,17.246,19.038,20.104,20.872,22.084,22.922,24.626,27.967
1660,-0.3447,17.2518,0.14413,11.4,12.561,13.313,13.736,14.423,14.913,15.679,17.252,19.045,20.111,20.88,22.093,22.931,24.636,27.979
1661,-0.3448,17.2577,0.14415,11.403,12.565,13.317,13.74,14.428,14.918,15.684,17.258,19.052,20.119,20.887,22.101,22.94,24.646,27.991
1662,-0.3448,17.2636,0.14418,11.406,12.569,13.321,13.745,14.432,14.923,15.689,17.264,19.059,20.126,20.895,22.11,22.95,24.657,28.004
1663,-0.3448,17.2695,0.1442,11.409,12.572,13.325,13.749,14.437,14.928,15.694,17.27,19.065,20.133,20.903,22.118,22.958,24.666,28.015
1664,-0.3449,17.2754,0.14423,11.412,12.576,13.329,13.753,14.441,14.932,15.699,17.275,19.072,20.141,20.911,22.127,22.968,24.677,28.028
1665,-0.3449,17.2813,0.14426,11.415,12.58,13.333,13.757,14.446,14.937,15.704,17.281,19.079,20.149,20.919,22.136,22.977,24.687,28.041
1666,-0.345,17.2872,0.14428,11.419,12.583,13.337,13.761,14.45,14.942,15.709,17.287,19.086,20.156,20.927,22.144,22.986,24.697,28.053
1667,-0.345,17.2931,0.14431,11.422,12.587,13.341,13.765,14.455,14.946,15.714,17.293,19.093,20.163,20.935,22.153,22.995,24.708,28.066
1668,-0.3451,17.299,0.14433,11.425,12.591,13.345,13.77,14.459,14.951,15.719,17.299,19.1,20.171,20.943,22.161,23.004,24.717,28.078
1669,-0.3451,17.3049,0.14436,11.428,12.594,13.349,13.774,14.464,14.956,15.725,17.305,19.107,20.178,20.951,22.17,23.013,24.728,28.09
1670,-0.3451,17.3108,0.14438,11.431,12.598,13.353,13.778,14.468,14.961,15.73,17.311,19.113,20.186,20.958,22.178,23.022,24.738,28.102
1671,-0.3452,17.3167,0.14441,11.434,12.602,13.357,13.782,14.473,14.965,15.735,17.317,19.12,20.193,20.966,22.187,23.032,24.748,28.115
